Lot Number,Title,Description,Low Estimate,High Estimate,Reserve Price,Start Price,Condition
        11,LOT OF FIVE 18th CENTURY AMERICAN GLASS DECANTERS,LOT OF FIVE 18th CENTURY AMERICAN GLASS DECANTERS  WITH GILT TRIM. Height: 10 in. by Width: 4 in. by  Depth: 3,600,900,1,1,
        11a,14kt GOLD OVAL WHITE OPAL DIAMOND ESTATE RING,14kt YELLOW GOLD OVAL WHITE OPAL DIAMOND ESTATE  RING - SIZE 8.5,1000,3000,750,700,
        11b,14K GOLD  PIERCED EARRINGS CLIPS,14K GOLD  PIERCED EARRINGS CLIPS 12.8 GRAMS,400,600,350,300,
        11c,GREEN APOPHYLLITE SCOLECITE & STILBITE,GREEN APOPHYLLITE SCOLECITE & STILBITE 15LB  (AP5G). Height: 7.5 in. by Width: 9 in. by Depth:  6 in.,500,900,400,300,
        11d,LARGE ROSE QUARTZ SPHERE,LARGE ROSE QUARTZ SPHERE- 4.11LB (S54). Height: 5  in. by Width: 5 in.,325,525,225,200,
        11e,JOHN PAVLICEK ABSTRACT MIXED MEDIA ON PAPER,JOHN PAVLICEK ABSTRACT MIXED MEDIA ON PAPER.  Height: 30 in. by Width: 22.5 in.,600,1200,400,200,
        12,ELSA PIRETTI FOR TIFFANY THUMBPRINT BOWLS,ELSA PIRETTI FOR TIFFANY THUMBPRINT BOWLS. Height:  4 in. by Width: 9.25 in.,400,600,1,1,
        13,ROYAL E. P. SILVER CHOCOLATE PITCHER,ROYAL E. P. SILVER CHOCOLATE PITCHER. Height: 14.5  in. by Width: 10 in. by Depth: 8 in.,1500,3500,1,1,THERE ARE A FEW DENTS IN THE SILVER
        14,SILVERPLATE AND CUT GLASS  TOBACCO / BISCUIT JAR,SILVERPLATE AND CUT GLASS TOBACCO / BISCUIT JAR.  Height: 8 in. by Width: 7.25 in. by Depth: 7.25  in.,200,400,1,1,
        15,E. P. SILVER WILLIAM HUTTON SONS BUN WARMER,E. P. SILVER WILLIAM HUTTON SONS BUN WARMER.  Height: 8 in. by Width: 12 in. by Depth: 9 in.,200,400,1,1,
        16,PAIR BRASS AND PORCELAIN BIRD CANDLE HOLDERS,PAIR OF BRASS AND PORCELAIN BIRD CANDLE HOLDERS.  Height: 13.25 in. by Width: 5 in. by Depth: 4 in.,200,400,1,1,
        17,MIXED LOT OF FOURTEEN SILVER PLATED PIECES,"MIXED LOT OF FOURTEEN SILVER PLATED PIECES.   BOWLS, TRAYS, PITCHER, BUTTER DISH. Height: 9.5  in. by Width: 7 in. by Depth: 7",700,900,1,1,
        18,PAIR OF BRASS PATINIZED FREDERICK COOPER LAMPS,PAIR OF BRASS PATINIZED FREDERICK COOPER LAMPS.  Height: 30 in. by Width: 20.5 in. by Depth: 20.5,400,600,1,1,
        19,VINTAGE MID-CENTURY LUCITE TABLE LAMP,VINTAGE MID-CENTURY LUCITE TABLE LAMP. Height: 30  in. by Width: 16 in. by Depth: 12,100,300,1,1,
        20,PAINTED INDIAN DOCUMENT BOX,PAINTED INDIAN DOCUMENT BOX. Height: 11 in. by  Width: 19 in. by Depth: 13 in.,200,400,1,1,
        21,SIGNED DAUM CRYSTAL FLOWER BOWL,SIGNED DAUM CRYSTAL FLOWER BOWL. Height: 3.75 in.  by Width: 10.5 in. by Depth: 10.5 in.,1500,2500,500,5,"VERY GOOD VINTAGE CONDITION, NO CHIPS, SHOWS SIGNS  OF LIGHT USE"
        22,BOEHM LESSER PRAIRIE CHICKENS PORCELAIN FIGURE,BOEHM LESSER PRAIRIE CHICKENS PORCELAIN FIGURE.  Height: 10 in. by Width: 7 in. by Depth: 11 in.,300,500,10,5,
        22a,10kt. WHITE-GOLD DIAMOND CROSS PENDANT,10kt. WHITE-GOLD DIAMOND CROSS PENDANT - (MM/U9CK)  - 9.7 GRAMS,450,600,300,250,
        22b,14kt. YELLOW-GOLD DIAMOND/RUBY/EMERALD RING,14kt. YELLOW-GOLD DIAMOND/RUBY/EMERALD RING -  (MM/H12TC) - 5.7 GRAMS,600,800,400,350,
        22c,LARGE DESERT ROSE SELENITE FLOWER,LARGE DESERT ROSE SELENITE FLOWER,200,300,1,1,
        22d,LARGE DESERT ROSE SELENITE FLOWER,LARGE DESERT ROSE SELENITE FLOWER - 3.10LB (OT101) Height: 6 in. by Width: 5.5 in. by Depth: 5,225,425,125,100,
        22e,ROBERT RECTOR ABSTRACT ACRYLIC ON PAPER,ROBERT RECTOR ABSTRACT ACRYLIC ON PAPER. Height:  33 in. by Width: 25.25 in.,900,2900,800,400,
        23,BOEHM AMERICAN BALD EAGLE PORCELAIN FIGURE,BOEHM AMERICAN BALD EAGLE PORCELAIN FIGURE.  Height: 9 in. by Width: 10 in. by Depth: 7 in.,300,500,1,1,
        24,PAIR OF DUAL SPOUT WEDDING VESSELS,PAIR OF DUAL SPOUT WEDDING VESSELS. Height: 6 in.  by Width: 2 in. by Depth: 4.5 in.,100,200,1,1,
        25,BOEHM PHEASANT,BOEHM PHEASANT. Height: 10 in. by Width: 5.5 in.  by Depth: 8.5 in.,300,500,1,1,
        26,BOEHM YOUNG AMERICAN BALD EAGLE,BOEHM YOUNG AMERICAN BALD EAGLE. Reselling to #102250 Height: 9.5 in. by Width: 5.5  in. by Depth: 6 in.,150,250,1,1,
        27,VINTAGE TOYO JAPAN FLORAL VASE,VINTAGE TOYO JAPAN FLORAL VASE. Height: 12 in. by  Width: 4.5 in. by Depth: 4.5 in.,100,200,1,1,
        28,BONE HANDLED CARVING SET AND CORKSCREW,BONE HANDLED CARVING SET AND CORKSCREW. Height: 10  in. by Width: 2 in. by Depth: 2 in.,300,500,1,1,
        29,MAYAN  BLACKWARE CERAMIC VESSEL,"MAYAN  BLACKWARE CERAMIC VESSEL, 500 -900 A. D . Height: 8 in. by Width: 5 in. by Depth: 5 in.",600,900,1,1,
        30,LOT OF 3 ANTIQUE JAPANESE IMARI PLATES,LOT OF 3 ANTIQUE JAPANESE IMARI PLATES. Height: 1  in. by Width: 8.5,600,1500,1,1,
        31,PAIR OF RED WINGBACK CHAIRS,PAIR OF RED WINGBACK CHAIRS. Height: 45 in. by  Width: 29 in. by Depth: 31 in.,300,500,1,1,
        32,PAIR OF ANTIQUE FRENCH LADDERBACK CHAIRS,PAIR ANTIQUE FRENCH LADDERBACK CHAIRS WITH RUSH  SEATS. Height: 38 in. by Width: 18.5 in. by Depth:  17 in.,300,500,1,1,
        33,LEXINGTON CONSOLE SOFA TABLE,LEXINGTON CONSOLE SOFA TABLE WITH BARLEY TWIST  LEGS. Height: 30.5 in. by Width: 52 in. by Depth:  16 in.,400,800,1,1,
        33a,LADY'S COMPOSITE RUBY & DIAMOND RING,LADY'S COMPOSITE RUBY & DIAMOND RING 14 KT YELLOW  GOLD MOUNTING 6.10 GRAMS.,700,1000,600,500,
        33b,14K WT GOLD 9.24CTW ROUND BR CUT DMND BRACELET,14K WT GOLD 9.24CTW ROUND BR CUT DMND BRACELET.,9000,12000,7450,6200,
        33c,14K YELLOW GOLD 23.21 CTW SAPPHIRE CORUNDUM,14K YELLOW GOLD 23.21 CTW SAPPHIRE CORUNDUM & 1.46  CTW DIAMOND BRACELET,3400,7350,3350,2777,
        33d,LADY'S TANZANITE & DIAMOND RING,"LADY'S TANZANITE & DIAMOND RING SET IN 18 KT WHITE  GOLD MOUNTING 4.20 GMS 32 ROUND DIAMONDS = APPROX  0.46 CTS TWT (COLOR G-H, CLARITY VS-SI (K35E95)",1400,1800,1600,1300,
        33e,"KNOX MARTIN ""MOZART SUITE PIANO CONCENTRO #21"" ETC","KNOX MARTIN ""MOZART SUITE PIANO CONCERTO 1""  ETCHING, EDITION #32/40. Height: 27 in. by Width:  22",950,2950,850,450,
        34,MIXED LOT OF TEN OF SILVER SERVING PIECES,MIXED LOT OF TEN OF SILVER SERVING PIECES. NINE  SILVERPLATE AND ONE STERLING SILVER. Height: 6 in.  by Width: 14 in. by Depth: 9 in.,300,500,1,1,
        35,MIXED LOT OF FIVE PORCELAIN PIECES,MIXED LOT OF FIVE PORCELAIN PIECES. Height: 5 in.  by Width: 10 in. by Depth: 10  and 10 in.,400,600,1,1,
        36,CIRCA 1780's MAHOGANY PIE CRUST TABLE,CIRCA 1780's  ENGLISH GEORGIN MAHOGANY TILT TOP  PIE CRUST  TABLE. Height: 28 in. by Width: 26 in.  by Depth: 26 in.,300,500,1,1,
        37,CUSTOM FLORAL UPHOLSTERED THREE CUSHION SOFA,CUSTOM FLORAL UPHOLSTERED THREE CUSHION SOFA.  Height: 38 in. by Width: 85 in. by Depth: 36 in.,300,500,1,1,
        38,PAIR OF WINGBACK ARMCHAIRS,PAIR OF WINGBACK ARMCHAIRS. Height: 45.5 in. by  Width: 28 in. by Depth: 30 in.,500,750,1,1,
        39,MAHOGANY CHIPPENDALE STYLE SETTEE,MAHOGANY CHIPPENDALE STYLE SETTEE. Height: 37 in.  by Width: 48.5 in. by Depth: 21 in.,1000,2000,1,1,
        40,ANTIQUE CHIPPENDALE STYLE WINGBACK CHAIR,ANTIQUE CHIPPENDALE STYLE WINGBACK CHAIR MOLAIN &  LEATHER TRIM. Height: 49 in. by Width: 32 in. by  Depth: 36,500,1000,1,1,
        41,VINTAGE MAHOGANY THREE TIER DUMBWAITER,VINTAGE MAHOGANY THREE TIER DUMBWAITER. Height: 37  in. by Width: 24 in. by Depth: 24 in.,200,300,1,1,
        42,GEORGIAN 1800'S VINTAGE MAHOGANY ROLL TOP DESK,GEORGIAN1800'S VINTAGE MAHOGANY ROLL TOP DESK.  Height: 41 in. by Width: 27 in. by Depth: 21 in.,1000,3000,1,1,
        43,ANTIQUE ENGLISH LOWBOY OR DRESSING TABLE 1780'S,1780'S ANTIQUE ENGLISH LOWBOY OR DRESSING TABLE  WITH THREE DRAWERS. Height: 28 in. by Width: 30  in. by Depth: 19.25 in.,1000,2000,300,5,
        44,REGENCY STYLE DROP LEAF SOFA TABLE,REGENCY STYLE DROP LEAF SOFA TABLE. Height: 28.25  in. by Width: 57 in. by Depth: 24 in.,200,400,1,1,
        44a,MIDO MULTIFORT 14K GOLD  WATCH,MIDO MULTIFORT 14K GOLD WATCH,600,1200,450,300,
        44b,18KT GOLD RUTHERFORD PEARL & LAPIS LAZULI NECKLACE,"18KT YELLOW GOLD RUTHERFORD PEARL & LAPIS LAZULI  NECKLACE. 15"" TOTAL LENGTH. Height: 1 1/8 in. by  Width: 3/4 in.",1000,2000,850,750,
        44c,APOPHYLLITE FORMATION,APOPHYLLITE FORMATION- 5.12LB (AP39). Height: 10  in. by Width: 5.5 in. by Depth: 2.5 in.,225,425,125,100,
        44d,AMETHYST CATHEDRAL WINDOW GEODE,AMETHYST CATHEDRAL WINDOW - 18.8 LB (M129).  Height: 7.5 in. by Width: 10 in. by Depth: 4 in.,400,800,300,250,
        44e,"KNOX MARTIN ""MOZART JUPITER SUITE"" ETCHING, #13/40","KNOX MARTIN ""MOZART JUPITER SUITE"" ETCHING,  EDITION #13/40. Height: 27 in. by Width: 22",900,2900,800,400,
        45,CIRCA 1850's GEORGIAN MAHOGANY GAME TABLE,CIRCA 1850's GEORGIAN MAHOGANY GAME TABLE. Height:  28.5 in. by Width: 35.5 in. by Depth: 36 in.,600,1200,1,1,
        46,EARLY 19TH C. FRENCH BRONZE SCULPTURE TORCHIERE,EARLY 19th CENTURY FRENCH BRONZE SCULPTURE  TORCHIERE. Height: 36 in. by Width: 9 in. by  Depth: 9 in.,1000,3500,900,5,
        47,"17th C. CHRIST ON CROSS,  AFTER PETER PAUL RUBEN","17th CENTURY CHRIST ON THE CROSS, AFTER PETER PAUL  RUBEN, OIL ON CANVAS. Height: 63 in. by Width:  43.5 in.",1500,3500,1,1,PCS OF DUCK TAPE ON THE BACK.
        48,LOT OF THREE BACCARAT CRYSTAL PIECES,LOT OF THREE BACCARAT CRYSTAL PIECES. TWO OBELISKS  AND A DECANTER. ALL MARKED. Height: 15 in. by  Width: 5 in. by Depth: 5 in.,300,500,1,1,
        49,LOT ONE LALIQUE AND THREE STEUBEN CRYSTAL PIECES,LOT OF ONE LALIQUE AND THREE STEUBEN CRYSTAL  PIECES. ALL MARKED. Height: 15 in. by Width: 9 in.  by Depth: 5 in.,300,500,1,1,
        50,HEREND ROTHSCHILD PORCELAIN CACHEPOT,HEREND ROTHSCHILD PORCELAIN CACHEPOT. Height: 10.5  in. by Width: 10 in. by Depth: 10 in.,800,1000,350,300,
        51,PAIR OF CHINESE PORCELAIN LIDDED JARS,PAIR OF CHINESE PORCELAIN LIDDED JARS. Height: 6  in. by Width: 4.5 in. by Depth: 4.5 in.,200,400,1,1,
        52,PAIR OF SILVER PLATED LIDDED WARMING DISHES,PAIR OF SILVER PLATED LIDDED WARMING DISHES.  Height: 7 in. by Width: 12 in. by Depth: 9.5 in.,1000,1500,800,1,
        53,PAIR OF 19th CENTURY CHINESE PORCELAIN VASES,PAIR OF 19th CENTURY CHINESE GILT BLUE GROUND  PORCELAIN VASES ON WOODEN BASES. Height: 13.5 in.  by Width: 6 in. by Depth: 4 in.,1200,2500,600,1,
        54,18th CENTURY QUEEN ANNE WALNUT WRITING DESK,18th CENTURY QUEEN ANNE WALNUT WRITING DESK.  Height: 30 in. by Width: 42 in. by Depth: 21 in.,2000,3000,200,1,
        55,EDWARDIAN PAINTED SATINWOOD END TABLE,EDWARDIAN PAINTED SATINWOOD END TABLE Height: 27.5  in. by Width: 21 in. by Depth: 21 in.,300,500,10,1,
        55a,LADY'S EMERALD & DIAMOND RING,"LADY'S EMERALD & DIAMOND RING18 KT YELLOW & WHITE  GOLD MOUNTING (4.50 GMS) (K33E65)	",1200,1800,1500,1225,
        55b,14k YELLOW GOLD 21.83 CTW SAPPHIRE CORUNDUM,14k YELLOW GOLD 21.83 CTW SAPPHIRE CORUNDUM & 6.24  CTW DIAMOND NECKLACE,5700,7700,5600,4700,
        55c,AFGHANISTAN ONYX MORTAR & PESTLE,AFGHANISTAN ONYX MORTAR & PESTLE- 4.10LB (OT106)  Height: 5 in. by Width: 4.5 in. by Depth: 4.5,250,450,150,100,
        55d,9 INCH SHIVA LINGAM MEDITATION STONE,9 INCH SHIVA LINGAM STONE 5.12 LB (SL37). Height:  9 in. by Width: 3.5 in. by Depth: 3.5,300,600,200,150,
        55e,JOHN PAVLICEK ABSTRACT MIXED MEDIA ON PAPER,JOHN PAVLICEK ABSTRACT MIXED MEDIA ON PAPER.  Height: 30 in. by Width: 22.5 in.,700,1700,600,300,
        56,18th CENTURY MAHOGANY PEMBROKE TABLE,18th CENTURY MAHOGANY PEMBROKE TABLE. Height: 28.5  in. by Width: 40 in. by Depth: 29 in.,1000,2400,300,1,
        57,PAIR OF 19th CENTURY GEORGE III STYLE ARMCHAIRS,PAIR OF19th CENTURY GEORGE III STYLE MAHOGANY  ARMCHAIRS. Height: 38 in. by Width: 27 in. by  Depth: 29 in.,1500,2500,800,1,
        58,ANTIQUE PLAID UPHOLSTERED SETTEE ON CASTERS,ANTIQUE PLAID UPHOLSTERED SETTEE ON CASTERS.  Height: 35.75 in. by Width: 54 in. by Depth: 26  in.,300,500,1,1,
        59,SHERATON SYTLE SOUTHWOOD MAHOGANY  ARMCHAIR,SHERATON SYTLE SOUTHWOOD INLAID MAHOGANY   ARMCHAIR. Height: 34 in. by Width: 24 in. by  Depth: 26 in.,400,600,1,1,
        60,SET OF EIGHT PRELUDE STERLING SILVER CUPS,SET OF EIGHT PRELUDE STERLING SILVER CUPS.        1575 Grams. Height: 6.5 in. by Width: 3.5 in. by  Depth: 3.5 in.,1600,2400,550,500,
        61,JAMES ALLAN & CO. STERLING SILVER TUREEN,JAMES ALLAN & CO. STERLING SILVER TUREEN. 1796  Grams T. W. Height: 7 in. by Width: 12 in. by  Depth: 7 in.,1000,2000,800,1,
        62,PAIR OF JAMES ALLAN & CO. STERLING SILVER DISHES,PAIR OF JAMES ALLAN & CO. STERLING SILVER LIDDED  SERVING DISHES. 2338 GRAMS T.W. Height: 6 in. by  Width: 11 in. by Depth: 6,1000,2000,800,1,
        63,"JAMES ALLAN & CO. STERLING SILVER BOWL, CIRCA 1899","JAMES ALLAN & CO. STERLING SILVER BOWL, CIRCA  1899. 1578 Grams. Height: 7.5 in. by Width: 11.75  in. by Depth: 11.75 in.",2500,4500,1500,1400,
        64,STERLING SILVER CANDLESTICKS BY ELLMORE SILVER CO,PAIR OF STERLING SILVER CANDLESTICKS BY ELLMORE SILVER COMPANY. Height: 10.25 in. by  Width: 3.75 in. by Depth: 3.75,200,300,1,1,
        65,ELEVEN PIECE DECANTER AND GOBLET SET,ELEVEN PIECE DECANTER AND GOBLET SET. Height: 12  in. by Width: 5 in. by Depth: 5 IN.,100,200,1,1,
        66,J. E. CALDWELL STERLING SILVER INKWELL & SP DISH,J. E. CALDWELL STERLING SILVER INKWELL &  SILVERPLATED DISH. REPRODUCTION OF INKWELL USED TO SIGN THE  DECLARATION OF INDEPENDENCE. MADE IN 1954 BY J. E.  CALDWELL- PHILADELPHIA. INKWELL WEIGHS 1066 https://www.lmauctionco.com/mc-escher-hand-drawn-study-screen-print-1969/,750,1500,1,1,
        66a,SILVER PLATED FAUX OPAL ESTATE RING,SILVER PLATED FAUX OPAL ESTATE RING.,200,300,50,30,
        66b,7.9G 14K 0.35 DIA  ISSPEARL GAL RING,7.9G 14K 0.35 DIA  ISSPEARL GAL RING K24E96,1500,2500,1500,915,
        66c,THOUSAND EYE JASPER OBELISK,THOUSAND EYE JASPER OBELISK Height: 10 in. by  Width: 3 in. by Depth: 3,250,375,10,5,
        66d,AMETHYST RING ON STAND,AMETHYST RING ON STAND - 2.4kg,250,325,90,80,
        66e,"JOHN PAVLICEK ""STAKED PLAINS II"" SERIGRAPH, #1/50","JOHN PAVLICEK ""STAKED PLAINS II"" SERIGRAPH,  EDITION #1/50. Height: 30 in. by Width: 22 in.",250,1250,150,50,
        67,REED AND BARTON STERLING SILVER PITCHER,REED AND BARTON STERLING SILVER PITCHER. 770  Grams. Height: 8.75 in. by Width: 6.5 in. by  Depth: 8.5 in.,1500,2500,400,5,
        68,51-PIECE CHRISTOFLE SILVER PLATED FLATWARE SET,51-PIECE CHRISTOFLE SILVER PLATED FLATWARE SET.  Height: 8 in. by Width: 1 in. by Depth: 1,2500,5000,500,250,
        69,JAMES ALLAN & CO. STERLING SILVER SERVING TRAY,JAMES ALLAN & CO. STERLING SILVER SERVING TRAY.  1746 Grams. Height: 2.25 in. by Width: 21 in. by  Depth: 16 in.,2500,4500,1000,5,
        70,AFTER JOHN CONSTABLE 18th C. ITALIAN LANDSCAPE OIL,AFTER JOHN CONSTABLE 18th CENTURY ITALIAN  LANDSCAPE OIL ON CANVAS. Height: 41 in. by Width:  59 in.,7500,10000,4500,5,
        71,JARDINES PICADOR OIL PAINTING,JARDINES PICADOR OIL PAINTING. Height: 18 in. by  Width: 10.5 in.,100,300,10,5,
        72,ADAIBERT WAGEN LANDSCAPE OIL ON CANVAS,"ADAIBERT WAGEN LANDSCAPE OIL ON CANVAS PAINTING,  1875. Height: 38.75 in. by Width: 48.5 in. by  Depth: 3",1100,2500,500,250,
        73,"SIGNED LEONARDO NIERMAN ABSTRACT OIL, 1970's","SIGNED LEONARDO NIERMAN ABSTRACT OIL  ON MASONITE,   1970's. Height: 30.75 & 24 in. by Width: 38.5 & 32  in.",1500,2500,800,5,
        74,"CHAGALL ""THE ACCORDIONIST""  ORIGINAL LITHOGRAPH","CHAGALL ""THE ACCORDIONIST""  ORIGINAL LITHOGRAPH.  SIGNED IN THE STONE. Height: 13.75 in. by Width:  22.5 in. by Depth: 1",600,800,500,5,
        75,FRENCH PRIMITIVE BOY & DOG OIL PAINTING,FRENCH PRIMITIVE BOY & DOG OIL PAINTING. Height:  16 in. by Width: 14.5 in. by Depth: 2 in.,200,300,10,5,
        76,BROTHER & SISTER SMOKING THE PIPE OIL PAINTING,BROTHER & SISTER SMOKING THE PIPE OIL PAINTING.  Height: 29 in. by Width: 25 in.,300,500,10,5,
        77,FRANZ DOBYASCHOFSKY 19th CENTURY OIL PAINTING,19th CENTURY AUSTRIAN FRANZ DOBYASCHOFSKY OIL ON  CANVAS PAINTING. Height: 38 in. by Width: 49 in.,1500,23500,1000,850,
        77a,PEARL & DIAMOND RING,PEARL & DIAMOND RING 32 DIAMOND .50CT,500,1000,425,325,
        77b,18kt. YELLOW-GOLD DIAMOND RING,18kt. YELLOW-GOLD DIAMOND RING - (JI/R35DA) - 16.5  GRAMS. SIZE  7.5.,2400,3200,1600,1500,
        77c,GREEN APOPHYLLITE & PEACH STILBITE,GREEN APOPHYLLITE & PEACH STILBITE-3.6LB (AP53).  Height: 6 in. by Width: 5 in. by Depth: 4,200,400,100,50,
        77d,POLISHED BLACK OBSIDIAN FREEFORM,"POLISHED BLACK OBSIDIAN FREEFORM, Height: 11 in.  by Width: 4.5 in. by Depth: 3 in.",225,425,125,100,
        77e,JOHN PAVLICEK ABSTRACT MIXED MEDIA ON PAPER,JOHN PAVLICEK ABSTRACT MIXED MEDIA ON PAPER.  Height: 30 in. by Width: 22 in.,700,1700,600,300,
        78,FEMALE MARBLE BUST,FEMALE MARBLE BUST. Height: 19 in. by Width: 13  in. by Depth: 9 in.,750,1850,600,550,
        79,18th CENTURY FRENCH WALNUT VASSELIER,18th CENTURY FRENCH WALNUT VASSELIER WITH PLATE  RACK. Height: 43 in. by Width: 55.5 in. by Depth:  23 in.,1500,2500,1000,500,
        80,SET OF TEN WATERFORD CRYSTAL ROCK GLASSES,SET OF TEN WATERFORD CRYSTAL ROCK GLASSES. Height:  3.25 in. by Width: 3 in. by Depth: 3 in.,500,1000,10,5,
        80a,8 WATERFORD CRYSTAL ROCKS GLASSES,8 WATERFORD CRYSTAL ROCKS GLASSES Height: 3.25 in.  by Width: 3,400,800,10,5,
        81,SET OF EIGHT WATERFORD CRYSTAL HIGHBALL GLASSES,SET OF EIGHT WATERFORD CRYSTAL HIGHBALL GLASSES  Height: 4.5 in. by Width: 3.25 in. by Depth: 3.25,400,800,10,5,
        82,SET OF SIX WATERFORD CRYSTAL HIGHBALL GLASSES,SET OF SIX WATERFORD CRYSTAL HIGHBALL GLASSES.  Height: 4.5 in. by Width: 3.25 in. by Depth: 3.25,300,600,10,5,
        83,SET OF TWELVE GORHAM STERLING SILVER WINE GOBLETS,SET OF TWELVE GORHAM STERLING SILVER WINE GOBLETS.  2208 Grams. Height: 6.5 in. by Width: 3.5 in. by  Depth: 3.5 in.,1500,2500,10,5,
        84,SET OF SEVEN STERLING SILVER CUP,SET OF SEVEN STERLING SILVER CUPS. Height: 4.75  in. by Width: 2.75 in.,500,800,10,5,
        85,SET OF NINE STERLING SILVER WALLACE  DESSERT BOWLS,SET OF NINE STERLING SILVER WALLACE  BOWLS.  Height: 3 in. by Width: 3.75 in.,500,800,400,5,
        86,MIXED LOT OF 11 SILVER PLATED PIECES,MIXED LOT OF 11 SILVER PLATED PIECES. Height: 12 in. by Width: 7 in. by Depth: 6,200,300,10,5,
        87,"78 PC. HEREND ""FRUITS & FLOWERS"" DINNERWARE SET","78 PIECE HEREND ""FRUITS & FLOWERS"" DINNERWARE SET. 14-DINNER PLATES 14-SALAD PLATES 12-DESSERT PLATES 12-SAUCERS 12-SOUP BOWLS 8-COFFEE CUPS 3PC-CREAM SUGAR 1-PLATTER 1-GRAVY BOAT",10000,15000,3000,5,
        88,SET OF TWELVE SEVRES FINE CHINA PLATES,SET OF TWELVE SEVRES FINE CHINA PLATES. Height: 1  in. by Width: 7.5 in. by Depth: 7.5,200,300,10,5,
        88a,TAHITIAN PEARL & DIAMOND RING,"TAHITIAN PEARL & DIAMOND RING. POLISHED, STAMPED,  & TESTED PLATINUM RING WITH A BRIGHT FINISH. 13MM  TIHITIAN PEARL, 0.80CT DIAMOND K35E41		1,279.60",1250,1750,1550,1280,
        88b,14kt. WHITE-GOLD DIAMOND PENDANT ON CHAIN,"14kt. WHITE-GOLD DIAMOND PENDANT ON 15"" CHAIN.  Height: 1 3/4 in. by Width: 1 3/8 in.",1275,1700,850,750,
        88c,PYRITE OBELISK,PYRITE OBELISK 4.4LB (P116). Height: 9 in. by  Width: 2.5 in. by Depth: 2.5 in.,325,625,225,175,
        88d,AMETHYST RING ON STAND,AMETHYST RING ON STAND - 2kg,250,325,125,100,
        88e,ROBERT RECTOR ABSTRACT MIXED MEDIA ON PAPER,ROBERT RECTOR ABSTRACT MIXED MEDIA ON PAPER.  Height: 30 in. by Width: 22 in.,700,1700,600,300,
        89,MIXED LOT OF 41 TWISTED STEM WINE GOBLETS,MIXED LOT OF 41 TWISTED STEM WINE GOBLETS. Height:  5.5 in. by Width: 4 in.,300,600,1,1,
        90,MIXED LOT OF 21 SILVER PIECES,"MIXED LOT OF 21 SILVER PIECES. STERLING SILVER  CANDLESTICKS, SILVER PLATE TRIVETS, ETC. Height:  9.5",1000,1500,1,1,
        91,FIVE PIECE SILVERPLATE COFFEE/TEA SET,"FIVE PIECE SILVERPLATE COFFEE/TEA SET .COFFEE, TEA  , CREAM, SUGAR, BOWL. Height: 11 in. by Width: 5  in. by Depth: 7 in.",200,300,1,1,
        92,MIXED LOT OF EIGHT STERLING SILVER PIECES,MIXED LOT OF EIGHT STERLING SILVER PIECES. Height: 10 in. by Width: 8 in. by Depth: 8,1500,2500,750,1,
        93,CONTEMPORARY TWO PIECE SECTIONAL SOFA,CONTEMPORARY TWO PIECE SECTIONAL SOFA. Height: 37  in. by Width: 117 in.,2500,3500,700,1,
